unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount,RSI_14,MA,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9
1512691200.0,2017-12-08,ETH/USDT,406.33,456.78,390.0,442.56,40380.88,17138384.6,N/A,58.43049892248387,447.61,21.41578929897622,-4.567067799107335,25.982857098083556
1512777600.0,2017-12-09,ETH/USDT,442.56,488.0,426.4,460.0,41096.91,18959683.2,N/A,61.69528837210086,447.47999999999996,21.534753118471883,-3.55848318368934,25.093236302161223
1512864000.0,2017-12-10,ETH/USDT,460.0,460.05,403.2,427.35,34191.63,14810733.68,N/A,53.26162659429839,444.94500000000005,19.482714177390903,-4.48841769981626,23.971131877207164
1512950400.0,2017-12-11,ETH/USDT,427.35,512.0,427.35,508.7,29217.01,13524545.46,N/A,65.8043976436978,447.5442857142857,22.464335134030705,-1.2054373945411676,23.669772528571873
1513036800.0,2017-12-12,ETH/USDT,508.7,639.27,494.89,620.0,57688.7,32272500.99,N/A,75.49413855898158,458.53214285714284,31.23067950531913,6.048725581397804,25.181953923921327
1513123200.0,2017-12-13,ETH/USDT,620.0,705.69,539.93,683.99,56293.24,35464491.73,N/A,79.1518615954047,477.26714285714286,41.748949141485696,13.253596174051495,28.4953529674342
1513209600.0,2017-12-14,ETH/USDT,683.99,747.6,630.5,679.76,57181.08,39405168.61,N/A,78.31966752002208,495.2907142857143,49.526533919728195,16.82494476183519,32.701589157893004
1513296000.0,2017-12-15,ETH/USDT,679.76,689.0,594.6,674.95,38846.45,25295708.27,N/A,77.32410671572508,510.8221428571428,54.99361766602419,17.83362280650495,37.159994859519244
1513382400.0,2017-12-16,ETH/USDT,674.95,712.0,669.22,682.81,26513.5,18224734.51,N/A,77.82025965152103,526.9064285714286,59.30341457190593,17.714735769909353,41.58867880199658
1513468800.0,2017-12-17,ETH/USDT,682.81,728.0,680.33,707.64,31020.47,21975505.95,N/A,79.35687596621197,544.5735714285714,63.64758824134776,17.64712755148095,46.00046068986681
1513555200.0,2017-12-18,ETH/USDT,707.64,798.88,638.0,784.0,44690.73,32105763.14,N/A,83.20942687434942,567.24,71.03007241320756,20.0236893786726,51.00638303453496
1513555200000.0,2017-12-18 00:00:00,ETH/USDT,707.62,798.88,638.0,784.0,45673.70777,32799947.5744694,40460.0,83.20942687434942,590.9357142857143,76.25275652728556,20.19709879420047,56.055657733085084
1513641600000.0,2017-12-19 00:00:00,ETH/USDT,784.0,864.9,729.01,798.0,69423.62125,55123972.0160901,57020.0,83.85029552321018,618.5778571428572,80.52031531979469,19.571726069367678,60.94858925042701
1513728000000.0,2017-12-20 00:00:00,ETH/USDT,798.0,828.0,661.0,790.21,72526.28416,55604509.7531012,58344.0,81.97538276396577,645.9978571428571,82.68800753284734,17.39153462593626,65.29647290691108
1513814400000.0,2017-12-21 00:00:00,ETH/USDT,794.62,845.99,705.98,782.41,78222.53998,62052521.6509025,57627.0,80.04539460146874,670.2728571428571,83.14861972818244,14.28171745701708,68.86690227116536
1513900800000.0,2017-12-22 00:00:00,ETH/USDT,784.0,796.0,504.99,635.97,154630.49482,98661808.4822484,113138.0,54.2307317440684,682.8421428571429,74.01909993700019,4.121758132667864,69.89734180433233
