unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,RSI_14,MA,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9
1581984000000.0,2020-02-18 00:00:00,BTC/USDT,9706.0,10250.0,9576.01,10164.71,70604.124019,696870122.812608,723413.0,61.515470338189395,9993.759285714286,298.9502723975438,-36.63052847241477,335.5808008699586
1582070400000.0,2020-02-19 00:00:00,BTC/USDT,10164.78,10250.0,9350.0,9593.79,55162.586895,547679966.9292257,588760.0,50.37533123658715,9992.455714285714,259.0115320631212,-61.25541504546993,320.2669471085911
1582156800000.0,2020-02-20 00:00:00,BTC/USDT,9594.65,9699.0,9400.0,9596.42,60152.342914,576020107.4626018,667387.0,50.41987419558663,9979.914285714285,224.55963888549013,-76.56584657848077,301.1254854639709
1582243200000.0,2020-02-21 00:00:00,BTC/USDT,9597.21,9755.51,9550.21,9677.05,42181.554524,408286949.8035292,470599.0,51.84689828524779,9970.151428571427,199.4732590379026,-81.32178114085468,280.7950401787573
1582329600000.0,2020-02-22 00:00:00,BTC/USDT,9677.05,9709.17,9560.02,9650.86,24636.757623,237544283.22525856,319961.0,51.330102063497975,9952.709285714285,175.820107219095,-83.97994636772984,259.80005358682484
1582416000000.0,2020-02-23 00:00:00,BTC/USDT,9650.85,9990.0,9645.0,9936.4,37702.089843,371815095.46744496,441935.0,56.42935630766952,9937.327142857142,172.0235769228275,-70.2211813311979,242.24475825402538
1582502400000.0,2020-02-24 00:00:00,BTC/USDT,9936.4,9990.0,9473.56,9656.13,55796.59612,542081527.6408329,589384.0,50.80296851743437,9923.348571428573,150.6693876537447,-73.26029648022455,223.92968413396926
1582588800000.0,2020-02-25 00:00:00,BTC/USDT,9655.52,9675.0,9250.0,9315.84,54379.344552,514946930.5660231,579079.0,44.94361353863338,9858.545714285714,111.87988379432136,-89.63984027171836,201.51972406603971
1582675200000.0,2020-02-26 00:00:00,BTC/USDT,9316.48,9377.44,8633.63,8785.25,92130.345482,830717784.3790948,871018.0,37.65172311905221,9748.459285714285,48.20514727706177,-122.65166143118239,170.85680870824416
1582761600000.0,2020-02-27 00:00:00,BTC/USDT,8786.0,8971.77,8531.0,8823.21,72483.578762,636955872.7625463,696646.0,38.42147936901475,9648.000714285716,-1.1184822469313076,-137.58023276414036,136.46175051720905
1582848000000.0,2020-02-28 00:00:00,BTC/USDT,8823.25,8900.0,8445.0,8692.91,71155.208977,615664817.0103912,655727.0,36.744513714810026,9530.039999999999,-48.40960734893088,-147.89708629291195,99.48747894398107
1582934400000.0,2020-02-29 00:00:00,BTC/USDT,8690.8,8790.0,8523.55,8523.61,36748.183035,318585951.9885324,414175.0,34.62959021284348,9431.389285714284,-95.9137486544987,-156.32098207878383,60.407233424285124
1583020800000.0,2020-03-01 00:00:00,BTC/USDT,8523.61,8750.0,8411.0,8531.88,43892.201779,375729315.25408256,472019.0,34.82692497948663,9332.432857142858,-132.59698551793372,-154.40337515377507,21.80638963584136
1583107200000.0,2020-03-02 00:00:00,BTC/USDT,8530.3,8965.75,8498.0,8915.24,60401.31773,528906629.5628192,564535.0,43.36215261206587,9275.95,-138.00692141557374,-127.85064884113208,-10.156272574441662
1583193600000.0,2020-03-03 00:00:00,BTC/USDT,8911.18,8919.65,8651.0,8760.07,55154.997282,484181096.3229558,512762.0,41.02044376327817,9175.618571428571,-150.18045593673742,-112.0193466898366,-38.161109246900814
1583280000000.0,2020-03-04 00:00:00,BTC/USDT,8760.07,8848.29,8660.0,8750.87,38696.482578,338849891.95293546,454817.0,40.8794849517364,9115.41,-159.01126308644416,-96.68012307163468,-62.331140014809485
1583366400000.0,2020-03-05 00:00:00,BTC/USDT,8750.99,9159.42,8746.54,9054.68,58201.866355,524102029.20478296,619552.0,47.31756848276309,9076.714285714286,-146.52367610202054,-67.35402886976884,-79.1696472322517
1583452800000.0,2020-03-06 00:00:00,BTC/USDT,9054.64,9170.0,8985.5,9131.88,43782.948044,397598476.42056286,493216.0,48.84208165667575,9037.773571428572,-130.48081073326648,-41.04893080081182,-89.43187993245466
1583539200000.0,2020-03-07 00:00:00,BTC/USDT,9130.89,9188.0,8835.0,8886.66,45422.204525,409983263.789138,485400.0,44.442723621701084,8983.187857142857,-130.84976261529482,-33.134306146272124,-97.7154564690227
1583625600000.0,2020-03-08 00:00:00,BTC/USDT,8885.25,8886.76,8000.0,8033.31,77537.315166,656931544.7821604,740741.0,33.22671109163019,8847.252857142857,-180.4223806676364,-66.16553935889095,-114.25684130874544
1583712000000.0,2020-03-09 00:00:00,BTC/USDT,8034.76,8179.31,7632.01,7929.87,116968.863268,918787729.0855838,929234.0,32.16698369800954,8723.948571428571,-224.55070497465022,-88.23509093272384,-136.31561404192638
1583798400000.0,2020-03-10 00:00:00,BTC/USDT,7929.87,8149.0,7728.01,7894.56,86783.443875,689700153.4490932,737528.0,31.79420705515972,8622.42857142857,-259.83698294966416,-98.81709512619022,-161.01988782347394
1583884800000.0,2020-03-11 00:00:00,BTC/USDT,7894.57,7980.0,7590.0,7934.52,79942.411172,624465167.3648188,699401.0,32.744114074780576,8561.662142857142,-283.21884075233356,-97.7591623430877,-185.45967840924587
1583971200000.0,2020-03-12 00:00:00,BTC/USDT,7934.58,7966.17,4410.0,4800.0,261505.608653,1628590104.2222133,1770812.0,15.044424249623775,8274.289999999999,-484.9341701914891,-239.5795934257946,-245.3545767656945
1584057600000.0,2020-03-13 00:00:00,BTC/USDT,4800.01,5955.0,3782.13,5578.6,402201.673764,2063819540.6389947,2309830.0,25.776891835356253,8051.839285714285,-595.8757637395374,-280.41694957907436,-315.4588141604631
1584144000000.0,2020-03-14 00:00:00,BTC/USDT,5576.05,5640.52,5055.13,5172.06,136910.135974,736651880.9210789,1106125.0,24.067240452829008,7812.442857142857,-703.109034969556,-310.1201766472743,-392.98885832228166
1584230400000.0,2020-03-15 00:00:00,BTC/USDT,5172.48,5940.0,5093.1,5361.3,139916.146534,753755706.4268771,1037714.0,26.510647235133572,7585.972857142858,-771.0019164754267,-302.41044652251605,-468.59146995291064
1584316800000.0,2020-03-16 00:00:00,BTC/USDT,5360.33,5365.42,4442.12,5028.97,227276.92276,1113690309.1015868,1608176.0,24.989849279358907,7308.382142857144,-837.5626543112448,-295.17694748666736,-542.3857068245775
1584403200000.0,2020-03-17 00:00:00,BTC/USDT,5028.86,5525.0,4921.45,5312.64,150089.926318,793147908.2684975,1069217.0,28.747199457895018,7062.137142857143,-865.8932942603715,-258.80606994863524,-607.0872243117362
1584489600000.0,2020-03-18 00:00:00,BTC/USDT,5312.64,5436.17,5009.37,5393.04,137127.634894,719748122.45302,962843.0,29.820202780523626,6822.292142857143,-875.3112814367278,-214.57924569999318,-660.7320357367346
1584576000000.0,2020-03-19 00:00:00,BTC/USDT,5393.26,6400.0,5252.53,6162.37,199020.873439,1164739707.514236,1403608.0,39.2478266974646,6615.698571428572,-828.6339498480093,-134.32153128901962,-694.3124185589896
1584662400000.0,2020-03-20 00:00:00,BTC/USDT,6162.05,6900.0,5670.0,6208.36,219298.329514,1401734013.175202,1580069.0,39.76871867358728,6406.875714285715,-780.2674595622675,-68.7640328026223,-711.5034267596452
1584748800000.0,2020-03-21 00:00:00,BTC/USDT,6204.57,6456.98,5860.02,6186.98,128913.668363,794962136.6384171,990974.0,39.59873931609661,6214.041428571429,-735.0154615842057,-18.809627859648344,-716.2058337245574
1584835200000.0,2020-03-22 00:00:00,BTC/USDT,6187.04,6407.87,5734.01,5816.19,119115.990527,722895653.5100614,952259.0,36.67131257782857,6055.675714285715,-713.4154586478926,2.232300061331898,-715.6477587092245
1584921600000.0,2020-03-23 00:00:00,BTC/USDT,5816.05,6600.0,5688.0,6467.31,164674.215785,1015525672.0743864,1099406.0,44.43901089263554,5951.2071428571435,-650.4511554654391,52.15728259502828,-702.6084380604674
1585008000000.0,2020-03-24 00:00:00,BTC/USDT,6465.25,6833.0,6371.33,6744.72,151138.009878,1001890515.2399886,1012669.0,47.39926786333361,5869.075714285714,-577.0609254502306,100.43801008818946,-677.49893553842
1585094400000.0,2020-03-25 00:00:00,BTC/USDT,6744.69,6957.96,6450.0,6677.43,132155.734989,880250736.9079887,912179.0,46.7486268996379,5779.283571428571,-516.4557193841983,128.83457292337732,-645.2902923075757
